id,title,description,background_image_url,background_video_url,parent_id,created_at,updated_at
1,Yoga,"Follow the feedback you receive from body, mind and heart. Move in a way that sparks strength, joy and space.

Developing a daily practice, asks that you tune into what it is that you need, each new day.",https://iusmtdsrtmnjctanmruk.supabase.co/storage/v1/object/public/the_fold%20bucket/categories%20background/yoga-category.jpg,,5,2025-03-10 02:31:45.442128+00,2025-03-10 02:31:45.442128+00
2,Vinyasa,"A strong, intelligently sequenced practice. Breath initiating movement leads us into a dynamic state of flow. Peak poses, anatomical focus areas and traditional teachings merge to take you deep into the physical experience",https://iusmtdsrtmnjctanmruk.supabase.co/storage/v1/object/public/the_fold%20bucket/categories%20background/vinyasa-category.jpg,,1,2025-03-10 02:31:45.442128+00,2025-03-10 02:31:45.442128+00
3,Yin,"A gentle practice exploring the subtle body through the energetic systems and fascial tissue. Dive into depths through longer, passive holds supported by props. We seek stillness and a state of surrender",https://iusmtdsrtmnjctanmruk.supabase.co/storage/v1/object/public/the_fold%20bucket/categories%20background/yin-category.jpg,,1,2025-03-10 02:31:45.442128+00,2025-03-10 02:31:45.442128+00
4,Slow Flow,"Slower moving to still or simply soothing yourself with deep, loving breaths and sweetly flowing practices. Cool, calm and unwind",https://iusmtdsrtmnjctanmruk.supabase.co/storage/v1/object/public/the_fold%20bucket/categories%20background/slow_flow-category.jpg,,1,2025-03-10 02:31:45.442128+00,2025-03-10 02:31:45.442128+00
5,Movement,"Find your perfect tempo to stretch, strengthen, and reconnect with the wisdom that lives in your body.",https://iusmtdsrtmnjctanmruk.supabase.co/storage/v1/object/public/the_fold%20bucket/categories%20background/movement-category.jpg,,,2025-03-10 04:43:12.187332+00,2025-03-10 04:43:12.187332+00
6,Mindfulness,Find your center in moments of quiet awareness.,https://iusmtdsrtmnjctanmruk.supabase.co/storage/v1/object/public/the_fold%20bucket/categories%20background/mindfullness-category.jpg,,,2025-03-10 04:43:12.187332+00,2025-03-10 04:43:12.187332+00
7,Education,"Truths about your body's rhythms, your mind's power, and your spirit's resilience. Reclaim the wisdom that has always been yours.",https://iusmtdsrtmnjctanmruk.supabase.co/storage/v1/object/public/the_fold%20bucket/categories%20background/education-category.jpg,,,2025-03-10 04:43:12.187332+00,2025-03-10 04:43:12.187332+00
8,Pre & Post Natal,"Honor the profound journey of motherhood—nurturing your changing body, soothing your open heart, and celebrating the sacred dance between strength and surrender.",https://iusmtdsrtmnjctanmruk.supabase.co/storage/v1/object/public/the_fold%20bucket/categories%20background/pre_post_natal_main-category.jpg,,,2025-03-10 04:43:12.187332+00,2025-03-10 04:43:12.187332+00
9,Series,"Curated collections for your evolving practice. Carefully crafted journeys that build upon each other, deepening your experience and nurturing transformation.",https://iusmtdsrtmnjctanmruk.supabase.co/storage/v1/object/public/the_fold%20bucket/categories%20background/Series-category.jpg,,,2025-03-10 04:43:12.187332+00,2025-03-10 04:43:12.187332+00
11,Pilates,"Sculpt, tone, strengthen and lengthen your body with this low-impact, effective movement practice.",https://iusmtdsrtmnjctanmruk.supabase.co/storage/v1/object/public/the_fold%20bucket/categories%20background/pilates-category.jpg,,5,2025-03-10 04:43:12.187332+00,2025-03-10 04:43:12.187332+00
